model_name,parameters,auc,background_rejection,fpr_at_target,achieved_signal_efficiency,threshold_at_target
model_trial_074,3905,0.8874244542744331,0.7599692810991078,0.24003071890089223,0.9801990076827487,0.53125
model_trial_075,5837,0.9148812565907848,0.7555216922002412,0.24447830779975874,0.9839481648782582,0.625
model_trial_076,1973,0.888078582400506,0.717754980483218,0.282245019516782,0.9809790742605241,0.1640625
model_trial_077,4817,0.9360660935462221,0.8147341877783523,0.18526581222164776,0.9806283466519119,0.4453125
model_trial_078,3953,0.9384926515687801,0.8372926247426233,0.1627073752573766,0.9800145733368406,0.5
model_trial_079,1717,0.4811312827073764,0.0,1.0,1.0,-1.0
model_trial_080,1357,0.9047589632596138,0.7468956071367021,0.2531043928632979,0.9800750436141875,0.5390625
model_trial_081,1773,0.9389774923452083,0.8307467172198185,0.16925328278018148,0.9803199482374426,0.3828125
model_trial_082,2601,0.8888107029526573,0.7549230364545068,0.2450769635454933,0.9810939677874833,0.421875
model_trial_083,5669,0.9428405883746226,0.8169050707351069,0.18309492926489307,0.9800569025309834,0.328125
model_trial_084,3905,0.4476481914177104,0.0758176337375771,0.9241823662624229,0.9805890409716365,-0.734375
model_trial_085,4789,0.9138323621028719,0.7783431748709715,0.22165682512902846,0.9807281226095343,0.296875
model_trial_086,6353,0.9375842703949667,0.8372321544652764,0.16276784553472354,0.9804499593337385,0.375
model_trial_087,1829,0.9403045397651556,0.8414348387408879,0.1585651612591121,0.9802927366126365,0.5078125
model_trial_088,5837,0.5604025982084586,0.0,1.0,1.0,-1.0
model_trial_089,4789,0.9257986674951028,0.7776084610012064,0.22239153899879363,0.9801476079470038,0.578125
model_trial_090,3965,0.35825898680176305,0.010264829579640922,0.9897351704203591,0.9800327144200447,-0.8359375
model_trial_091,5849,0.8992269506527133,0.7909512276978059,0.20904877230219415,0.9802352898491569,0.4609375
model_trial_092,3313,0.9366625026891754,0.8321617217097366,0.16783827829026338,0.9801355138915344,0.53125
model_trial_093,3253,0.8874219849951088,0.7265594528649306,0.27344054713506943,0.9803380893206467,0.421875
model_trial_094,4557,0.5339921353795737,0.0,1.0,1.0,-1.0
model_trial_095,4569,0.8727157808179935,0.6880247686256014,0.3119752313743987,0.9808399926226261,0.421875
model_trial_096,741,0.44882718843656344,0.0341384950762077,0.9658615049237923,0.9843623862780847,-0.9921875
model_trial_097,2637,0.9039372312390391,0.7316480267036745,0.26835197329632554,0.9808762747890343,0.5
model_trial_098,7177,0.9462479278754339,0.8558781644852014,0.1441218355147986,0.9804227477089323,0.59375
model_trial_099,5825,0.8972958303637326,0.7645438575804028,0.2354561424195972,0.9800750436141875,0.4140625
model_trial_100,7121,0.9080615450499236,0.772244747400534,0.22775525259946605,0.9804348417644018,0.4375
model_trial_101,7149,0.9373131137124517,0.8373379774506335,0.16266202254936643,0.9803532068899834,0.4375
model_trial_102,3277,0.8885910217946216,0.7551135178281495,0.2448864821718505,0.9801173728083303,0.3828125
model_trial_103,2637,0.8937428310088102,0.775422460475115,0.22457753952488502,0.980183890113412,0.734375
model_trial_104,717,0.86236252414202,0.5788970826114694,0.4211029173885306,0.9800720201003202,0.2890625
model_trial_105,4049,0.9365456758158793,0.8379063980576946,0.16209360194230532,0.9802443603907589,0.375
model_trial_106,5173,0.8880771855265133,0.7226833080869925,0.27731669191300745,0.9801657490302079,0.65625
model_trial_107,1345,0.9229495965356368,0.7668024224393105,0.23319757756068948,0.9801506314608712,0.46875
model_trial_108,2673,0.9427283062245795,0.837988032932113,0.16201196706788695,0.9800236438784427,0.390625
model_trial_109,3309,0.9433636050028074,0.8460336033331217,0.1539663966668783,0.9803018071542385,0.5546875
model_trial_110,977,0.9344548785507512,0.819638327271188,0.18036167272881198,0.9800024792813712,0.3671875
model_trial_111,4873,0.9439729867216016,0.8425595858995407,0.15744041410045928,0.9802201722798202,0.5234375
model_trial_112,3965,0.5205626400843468,0.08401135631808576,0.9159886436819142,0.9816623883945443,-0.84375
model_trial_113,2401,0.6086809308340871,0.0,1.0,1.0,-1.0
model_trial_114,4049,0.9233612835036986,0.7452236039680595,0.2547763960319404,0.9800115498229732,0.5
