model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_1*_ff,dsp,bram,hls_source,fullPath
model1,model1_6w8i,829,199.0,0.943368627550238,0.7983679072144064,12410,8259,16539.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_secondary/model_trial_829.h5
model1,model1_6w8i,836,121.0,0.9388993287785602,0.7975938876643658,10051,6650,13376.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_836.h5
model1,model1_6w8i,831,155.0,0.9388890645906776,0.7920396926900506,11752,7893,15698.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_secondary/model_trial_831.h5
model1,model1_6w8i,849,85.0,0.9354657172485852,0.7884175230769697,9126,6117,12184.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_849.h5
model1,model1_6w8i,858,105.0,0.9362614266878204,0.7746061117309314,10815,7226,14428.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_secondary/model_trial_858.h5
model1,model1_6w8i,830,91.0,0.9214100097877284,0.7440897862678046,8548,5839,11467.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_secondary/model_trial_830.h5
model1,model1_6w8i,824,61.0,0.8822279981596747,0.6729616225384818,6485,4454,8712.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_824.h5
model1,model1_6w8i,826,79.0,0.8880494867896274,0.6688133615124825,7513,4994,10010.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_secondary/model_trial_826.h5
model1,model1_6w8i,851,67.0,0.8394530598560263,0.6410454101547737,9008,5865,11940.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_secondary/model_trial_851.h5
model1,model1_6w8i,839,65.0,0.8351328839364829,0.6314638947091531,7437,5008,9941.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_secondary/model_trial_839.h5
