model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_ff,dsp,bram,hls_source,fullPath,areaScorePostScheduling,areaScorePostDSP,areaScorePostAssignment,designLatency,clockPeriod,numClocks,hlsDir,h5Path
model1,model1_8w10i,1031,121.0,0.9418471349615152,0.7960277074810804,10219,7360,17579,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1031.h5,60544.5,70897.0,68167.7,180.0,10.0,18,./hlsVerification/m1_b8__model_trial_1031.h/hlsCatapultModel2_20260625_123337/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_8bit_normalised_selected__model_trial_1031.h5
model1,model1_6w8i,849,85.0,0.9354657172485852,0.7884175230769697,9318,6805,16123,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_849.h5,31882.7,41211.4,40711.8,200.0,10.0,20,./hlsVerification/m1_b6___model_trial_849.h/hlsCatapultModel2_20260625_123528/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_6bit_normalised_selected__model_trial_849.h5
model1,model1_8w10i,1034,91.0,0.9343880440263256,0.7755554950852782,8689,6446,15135,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1034.h5,44352.2,53501.4,53028.8,180.0,10.0,18,./hlsVerification/m1_b8__model_trial_1034.h/hlsCatapultModel2_20260625_123723/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_8bit_normalised_selected__model_trial_1034.h5
model1,model1_10w12i,1234,65.0,0.9182796353638978,0.7119377398024436,7515,5482,12997,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_primary/model_trial_1234.h5,39381.5,47722.9,47353.3,180.0,10.0,18,./hlsVerification/m1_b10__model_trial_1234.h/hlsCatapultModel2_20260625_123914/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_10bit_normalised_selected__model_trial_1234.h5
model1,model1_10w12i,1224,61.0,0.8907899117945108,0.6890164811740909,6491,4857,11348,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_primary/model_trial_1224.h5,38615.4,45951.8,45642.0,160.0,10.0,16,./hlsVerification/m1_b10__model_trial_1224.h/hlsCatapultModel2_20260625_124101/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_10bit_normalised_selected__model_trial_1224.h5
model1,model1_10w12i,1241,31.0,0.8332578157126982,0.6168482286744008,6458,4289,10747,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_primary/model_trial_1241.h5,19248.1,26059.5,25799.9,200.0,10.0,20,./hlsVerification/m1_b10__model_trial_1241.h/hlsCatapultModel2_20260625_124241/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_10bit_normalised_selected__model_trial_1241.h5
model1,model1_10w12i,1222,45.0,0.8622075434848769,0.5875503792998147,5736,4247,9983,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_secondary/model_trial_1222.h5,29116.8,35621.3,35378.0,160.0,10.0,16,./hlsVerification/m1_b10__model_trial_1222.h/hlsCatapultModel2_20260625_124430/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_10bit_normalised_selected_pareto_secondary__model_trial_1222.h5
model1,model1_8w10i,1035,25.0,0.82340753744996,0.5565563386456471,5421,3710,9131,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1035.h5,13543.3,19049.9,18850.9,180.0,10.0,18,./hlsVerification/m1_b8__model_trial_1035.h/hlsCatapultModel2_20260625_124610/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_8bit_normalised_selected__model_trial_1035.h5
model1,model1_8w10i,1028,19.0,0.8116697974599648,0.5298526641692443,4400,3081,7481,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1028.h5,11052.4,15594.2,15457.7,160.0,10.0,16,./hlsVerification/m1_b8__model_trial_1028.h/hlsCatapultModel2_20260625_124755/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_8bit_normalised_selected__model_trial_1028.h5
model1,model1_10w12i,1228,19.0,0.8375222662251283,0.3630363335661439,4312,3031,7343,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_primary/model_trial_1228.h5,13518.8,18342.6,18207.9,160.0,10.0,16,./hlsVerification/m1_b10__model_trial_1228.h/hlsCatapultModel2_20260625_124933/Catapult/myproject.v1,./CrossParetoModels_June2026/model1_fin_results_model1_10bit_normalised_selected__model_trial_1228.h5
