Signal Type: Mean Signal AUC (0.3-3 kHz)
Validation Loss,Adjusted ROC AUC,Model Size (b),dropout,kernel_height_0,kernel_height_1,kernel_width_0,kernel_width_1,n_conv_layers,n_dense_layers,n_dense_units_0,n_dense_units_1,n_dense_units_2,n_dense_units_3,n_filters_0,n_filters_1,q_activation_bits,q_activation_ints,q_bias_conv_bits,q_bias_conv_ints,q_bias_dense_bits,q_bias_dense_ints,q_kernel_conv_bits,q_kernel_conv_ints,q_kernel_dense_bits,q_kernel_dense_ints,shortcut,stride_height_0,stride_height_1,stride_width_0,stride_width_1,use_bias_conv
Validation Loss,Adjusted ROC AUC,Model Size (b),dropout,kernel_height_0,kernel_height_1,kernel_width_0,kernel_width_1,n_conv_layers,n_dense_layers,n_dense_units_0,n_dense_units_1,n_dense_units_2,n_dense_units_3,n_filters_0,n_filters_1,q_activation_bits,q_activation_ints,q_bias_conv_bits,q_bias_conv_ints,q_bias_dense_bits,q_bias_dense_ints,q_kernel_conv_bits,q_kernel_conv_ints,q_kernel_dense_bits,q_kernel_dense_ints,shortcut,stride_height_0,stride_height_1,stride_width_0,stride_width_1,use_bias_conv
6.292959213256836,0.1035503167240312,50046,0.139336111288685,1,,2,,1,1,2,,,,3,,28,27,,,13,1,17,4,20,4,False,1,,2,,False
7.262689113616943,0.31387465944928455,50046,0.139336111288685,1,,2,,1,1,2,,,,3,,28,27,,,13,1,17,4,20,4,False,1,,2,,False
6.684208869934082,0.11710186342722602,50046,0.139336111288685,1,,2,,1,1,2,,,,3,,28,27,,,13,1,17,4,20,4,False,1,,2,,False
7.480235576629639,0.3376692544791903,50046,0.139336111288685,1,,2,,1,1,2,,,,3,,28,27,,,13,1,17,4,20,4,False,1,,2,,False
6.844149112701416,0.12331566438999733,50046,0.139336111288685,1,,2,,1,1,2,,,,3,,28,27,,,13,1,17,4,20,4,False,1,,2,,False
6.9851555824279785,0.370313430376104,51248,0.19064318242366818,,,,,0,2,3,2,,,,,15,12,,,13,2,,,12,2,True,,,,,
17.663541793823242,0.3977021069514277,51248,0.19064318242366818,,,,,0,2,3,2,,,,,15,12,,,13,2,,,12,2,True,,,,,
10.704504013061523,0.360469720161353,50004,0.10454299601535322,,,,,0,3,2,1,1,,,,28,27,,,17,12,,,32,19,True,,,,,
10.610220909118652,0.30555773773103306,50004,0.10454299601535322,,,,,0,3,2,1,1,,,,28,27,,,17,12,,,32,19,True,,,,,
8.143044471740723,0.20308659698613388,50004,0.10454299601535322,,,,,0,3,2,1,1,,,,28,27,,,17,12,,,32,19,True,,,,,
9.27763843536377,0.24109846468349436,50004,0.10454299601535322,,,,,0,3,2,1,1,,,,28,27,,,17,12,,,32,19,True,,,,,
