cota cotb p flp ylocal zglobal pt t hit_pdg
5.39602 2.36152 0.00039 1 -4.57500 48.87500 0.00017 0.30298 -13
-0.04051 0.29333 0.00019 1 -5.42500 48.95000 0.00019 0.32186 -13
0.99072 -0.60721 0.00037 1 -1.72500 19.70000 0.00028 0.26354 -13
-1.21684 2.94364 0.00035 1 -7.77500 -22.22500 0.00033 0.42879 13
0.53593 1.27203 0.00020 1 -7.77500 -23.00000 0.00019 0.44398 13
-0.58052 0.52038 0.00085 1 -6.47500 60.97500 0.00075 0.26296 13
-1.39864 0.47785 0.00030 1 -6.82500 61.60000 0.00018 0.26713 13
-0.41295 -0.36361 0.00023 1 -7.70000 61.42500 0.00021 0.27693 13
-5.15704 8.68214 0.00085 1 -2.55000 -41.70000 0.00073 0.28710 13
1.09432 -1.03476 0.00078 1 -2.97500 -46.50000 0.00062 0.32421 13
0.29926 -0.15955 0.00043 1 -2.82500 -46.62500 0.00042 0.32534 13
-0.43042 3.28229 0.00057 1 -3.32500 -46.30000 0.00056 0.32794 13
0.36387 -0.09919 0.00043 1 2.70000 59.62500 0.00041 0.26336 -13
-0.64218 -0.31978 0.00020 1 2.70000 59.57500 0.00017 0.26397 -13
-1.50637 -0.32809 0.00023 1 -5.20000 -54.22500 0.00013 0.35241 13
-0.04086 -1.01985 0.00009 1 -4.00000 43.85000 0.00009 0.40816 -13
1.62332 -0.04561 0.00066 1 -0.45000 -63.70000 0.00034 0.25714 -13
0.63538 5.15459 0.00042 1 0.37500 -63.22500 0.00042 0.26372 -13
-1.68882 2.25038 0.00021 1 0.45000 -63.27500 0.00017 0.26436 -13
0.14662 -0.71438 0.00019 1 -0.40000 33.15000 0.00019 1.36961 13
-1.80758 -0.04569 0.00085 1 0.07500 55.65000 0.00041 0.26833 13
-0.57173 0.45052 0.00070 1 1.37500 55.77500 0.00062 0.27583 13
0.37719 0.13907 0.00061 1 0.35000 54.52500 0.00057 0.28559 13
-0.79340 0.27155 0.00012 1 -6.55000 -55.05000 0.00009 0.76569 13
0.13194 -0.32391 0.00076 1 2.17500 59.72500 0.00075 0.25739 13
-0.14158 1.31506 0.00086 1 3.62500 -53.52500 0.00086 0.27742 13
-3.97282 -0.40710 0.00054 1 -7.27500 -64.87500 0.00014 0.27264 -13
-0.68086 -2.55680 0.00097 1 -1.97500 42.00000 0.00094 0.27706 13
-1.42876 -0.06392 0.00016 1 -3.85000 -60.65000 0.00009 2.06396 -13
0.31515 -0.84722 0.00035 1 -7.02500 57.45000 0.00034 0.26648 -13
-0.31023 0.21833 0.00057 1 3.55000 -47.80000 0.00055 0.61922 13
0.88568 0.16693 0.00019 1 2.55000 -48.20000 0.00014 0.62665 13
0.56136 -0.22111 0.00017 1 2.05000 -48.85000 0.00015 0.63454 13
1.75584 -0.67135 0.00042 1 -7.05000 -63.55000 0.00024 0.40364 13
-1.02727 -0.30308 0.00015 1 -7.02500 -63.47500 0.00011 0.40516 13
-0.02593 -0.37039 0.00047 1 -3.15000 -17.30000 0.00047 0.31204 13
-0.17955 0.47801 0.00039 1 -3.95000 -16.95000 0.00038 0.31732 13
-0.17170 -1.05160 0.00021 1 -4.90000 44.65000 0.00021 0.37716 13
0.69145 -1.70241 0.00082 1 -6.52500 -20.87500 0.00078 0.34598 -13
-0.81170 -1.86554 0.00014 1 4.47500 -53.35000 0.00013 1.60409 13
0.48034 0.93905 0.00093 1 -1.20000 -64.42500 0.00088 0.27660 -13
-0.47339 -1.39119 0.00085 1 -1.95000 -58.67500 0.00082 0.31549 -13
-7.34433 -3.09041 0.00052 1 -1.10000 -58.97500 0.00021 0.32030 -13
0.34964 0.19553 0.00015 1 -0.65000 -59.00000 0.00014 0.33181 -13
-0.38142 0.58021 0.00043 1 -4.42500 61.25000 0.00041 0.26858 13
-0.25847 -0.78203 0.00030 1 -4.82500 60.10000 0.00030 0.29279 13
-0.38882 0.37810 0.00018 1 -7.05000 62.12500 0.00017 0.26626 13
0.67227 -0.74137 0.00061 1 -7.70000 -60.02500 0.00054 0.27899 13
3.95173 3.85441 0.00029 1 -7.00000 60.27500 0.00021 0.26108 13
0.14696 0.48112 0.00031 1 -7.62500 59.77500 0.00031 0.26645 13
0.40110 -0.21275 0.00011 1 -7.65000 59.75000 0.00010 0.26705 13
0.65979 0.69186 0.00016 1 4.17500 -10.15000 0.00014 2.19711 -13
-0.57029 0.32340 0.00012 1 0.50000 -55.80000 0.00010 1.34047 13
-0.69167 -1.04410 0.00062 1 -3.32500 -63.05000 0.00056 0.49479 13
-0.05572 -0.95138 0.00082 1 2.17500 1.10000 0.00082 0.36376 -13
0.95416 -1.45525 0.00059 1 3.37500 1.72500 0.00052 0.37256 -13
0.50696 -1.33824 0.00037 1 3.10000 1.87500 0.00035 0.37404 -13
0.48115 0.16768 0.00053 1 2.05000 1.65000 0.00048 0.38118 -13
0.39772 -0.04131 0.00006 1 0.85000 58.52500 0.00006 0.34562 13
0.03844 0.64967 0.00072 1 4.30000 64.30000 0.00072 0.97574 13
1.60188 -0.07192 0.00057 1 4.47500 61.07500 0.00030 0.99227 13
3.14579 -4.05354 0.00025 1 -7.05000 60.92500 0.00020 0.99579 13
-0.11154 0.00376 0.00073 1 3.87500 -61.07500 0.00072 0.26243 13
0.13656 -0.44866 0.00068 1 2.55000 -61.32500 0.00067 0.27214 13
2.00832 -0.69346 0.00019 1 -1.95000 -15.85000 0.00010 0.26830 13
0.10797 0.01338 0.00074 1 -0.95000 53.00000 0.00074 0.26412 -13
-0.54880 0.88888 0.00029 1 -0.75000 53.50000 0.00027 0.27144 -13
0.21888 1.16719 0.00055 1 -0.80000 32.32500 0.00054 0.25787 13
1.98893 -3.70056 0.00051 1 -1.05000 32.27500 0.00045 0.27213 13
-0.96127 0.80103 0.00015 1 -4.45000 4.67500 0.00012 0.33507 -13
-1.36131 -1.45617 0.00079 1 2.07500 33.40000 0.00062 0.78140 13
-0.12548 -0.02187 0.00013 1 -7.05000 52.77500 0.00013 0.42963 -13
-0.27769 -0.09423 0.00028 1 -8.47500 9.82500 0.00027 0.26950 -13
0.20688 0.01028 0.00021 1 -1.10000 -2.97500 0.00021 1.20688 13
-1.98560 -1.11306 0.00035 1 -3.05000 -21.77500 0.00021 0.87217 13
-1.91466 -1.01764 0.00020 1 -3.27500 -20.27500 0.00012 0.88259 13
-0.47956 -0.56694 0.00018 1 -3.57500 -63.80000 0.00017 0.30020 13
-5.01749 -2.67891 0.00074 1 4.45000 6.32500 0.00037 0.27856 13
-2.27906 1.87760 0.00025 1 4.45000 6.00000 0.00017 0.28097 13
-0.07617 -0.00445 0.00007 1 4.17500 6.02500 0.00007 0.28722 13
-0.42640 -1.22536 0.00071 1 -2.75000 -61.97500 0.00069 0.63426 13
-1.16795 -2.21647 0.00014 1 4.50000 -10.47500 0.00013 0.57599 13
-0.24177 -0.02597 0.00038 1 -7.00000 19.07500 0.00037 1.58126 -13
-6.52154 -7.51081 0.00024 1 -7.15000 19.12500 0.00018 1.58261 -13
-0.05956 -0.08614 0.00008 1 0.37500 10.65000 0.00008 0.30417 -13
-1.19000 -2.08416 0.00013 1 -1.82500 -64.32500 0.00012 0.39665 13
-0.38983 1.54098 0.00048 1 0.07500 34.97500 0.00047 0.33847 13
-0.53181 0.19081 0.00073 1 -1.42500 35.20000 0.00065 0.34837 13
-1.90787 -0.22477 0.00043 1 -1.27500 35.45000 0.00020 0.35034 13
1.67035 1.12205 0.00047 1 -1.50000 35.22500 0.00031 0.35194 13
0.29524 0.68666 0.00025 1 -1.72500 34.52500 0.00025 0.35480 13
1.32587 2.80422 0.00021 1 1.32500 -58.42500 0.00019 0.25958 -13
0.83157 -0.12478 0.00065 1 -2.50000 -43.90000 0.00050 0.26281 -13
0.04187 0.58212 0.00055 1 -5.52500 63.75000 0.00055 0.25838 13
-0.33908 1.41822 0.00072 1 3.85000 -2.45000 0.00070 1.44176 13
0.42151 0.16873 0.00059 1 3.75000 -3.55000 0.00055 1.45788 13
-0.74083 -0.58234 0.00086 1 2.27500 40.97500 0.00072 0.38964 -13
-0.07907 -0.85984 0.00104 1 -7.50000 -62.75000 0.00103 0.26942 13
-1.03234 0.43521 0.00083 1 -6.12500 -63.05000 0.00060 0.27573 13
-0.86261 -0.28903 0.00010 1 -3.62500 -0.57500 0.00007 0.29997 -13
4.94486 5.88763 0.00085 1 4.12500 -55.10000 0.00065 0.34449 -13
0.25192 0.63485 0.00060 1 3.72500 -54.82500 0.00059 0.36579 -13
0.17864 -0.19013 0.00011 1 -6.52500 -45.92500 0.00010 0.27250 -13
0.55302 -0.41719 0.00029 1 -4.40000 39.62500 0.00026 1.10539 -13
-0.27898 -0.29598 0.00006 1 -3.42500 30.27500 0.00006 0.73552 -13
-2.27296 1.20964 0.00043 1 -7.82500 19.30000 0.00024 0.31111 13
0.37182 0.48131 0.00048 1 -8.47500 18.72500 0.00045 0.31655 13
-3.43032 6.01344 0.00044 1 -7.40000 36.32500 0.00038 0.28612 13
-3.52234 2.12050 0.00011 1 -8.02500 40.25000 0.00006 0.45874 13
-0.54456 -0.04051 0.00059 1 2.97500 -25.85000 0.00052 0.62584 -13
0.41853 0.47406 0.00044 1 2.20000 -27.17500 0.00041 0.63350 -13
0.56023 -0.84004 0.00017 1 2.15000 -27.25000 0.00015 0.63497 -13
1.09050 -0.81680 0.00033 1 -8.47500 51.25000 0.00025 0.30950 13
-1.93199 -2.19150 0.00031 1 -8.50000 51.17500 0.00024 0.31010 13
-0.34306 -1.46483 0.00019 1 -5.10000 -48.82500 0.00018 0.26761 -13
-0.10265 0.19121 0.00065 1 4.17500 -37.97500 0.00065 0.90454 13
0.26276 -0.10131 0.00062 1 2.97500 -38.22500 0.00060 0.91266 13
-0.41702 1.05303 0.00022 1 0.40000 57.47500 0.00021 1.53941 -13
5.55661 4.74621 0.00019 1 0.27500 57.37500 0.00013 1.54125 -13
0.03618 -0.03996 0.00007 1 1.37500 -43.62500 0.00007 0.47282 13
-0.45087 -0.05447 0.00087 1 -2.90000 -37.02500 0.00079 0.29261 13
0.35640 0.24669 0.00087 1 -4.40000 -37.70000 0.00083 0.30076 13
-0.55688 -0.15204 0.00062 1 -2.97500 -38.17500 0.00054 0.30836 13
0.23552 0.27049 0.00058 1 -4.05000 -38.65000 0.00056 0.31517 13
0.21263 -0.27302 0.00050 1 -0.15000 59.12500 0.00049 0.26004 13
2.28437 6.42765 0.00073 1 -3.00000 -61.57500 0.00069 0.26720 13
0.72617 0.54163 0.00074 1 -3.35000 -62.95000 0.00063 0.28097 13
-3.63031 -8.05321 0.00066 1 1.32500 64.30000 0.00061 0.51664 13
-0.71864 -0.94318 0.00027 1 -2.80000 61.65000 0.00024 0.26046 -13
-0.14269 -1.59283 0.00018 1 -1.35000 24.07500 0.00017 0.26171 -13
-1.52494 -0.91348 0.00066 1 -4.15000 -40.30000 0.00044 0.45334 -13
0.47537 0.59910 0.00060 1 -5.05000 -41.10000 0.00055 0.45919 -13
-0.29100 0.20372 0.00075 1 0.57500 56.22500 0.00072 0.25829 -13
-0.34418 -0.06042 0.00062 1 1.62500 54.95000 0.00058 0.27004 -13
0.22075 -0.25680 0.00055 1 0.57500 54.35000 0.00053 0.27759 -13
-0.14380 -0.52639 0.00061 1 -4.42500 -4.85000 0.00060 1.95350 13
-0.65029 0.42552 0.00062 1 -5.60000 -4.32500 0.00053 1.96059 13
2.39844 -5.36952 0.00077 1 1.90000 -5.05000 0.00071 0.37502 13
