trial_id,parameters,auc,primary_metric,bkg_rej_@95%,bkg_rej_@98%,bkg_rej_@99%,model_name,val_accuracy,h5_file,output_dir,luts,luts_used,luts_available,luts_percent,registers,registers_used,registers_available,registers_percent,bram,bram_used,bram_available,bram_percent,dsp,dsp_used,dsp_available,dsp_percent,latency_min,latency_max,interval_min,interval_max,estimated_fmax,run_name,global_id,model_family,bit_width,luts_plus_ff
105,697,0.9545849388233816,0.8545599124390384,0.8806921427945129,0.8575320265706399,0.831091397800696,,,,,29686,29686,53200,55.0,33515,33515,106400,31.0,40,40,280,14.0,81,81,220,36.0,77,81,20,20,104.6682,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_105,Model 2.5,6,63201
030,739,0.9509940839076356,0.8523291639077102,0.8814933739693597,0.8559325877348136,0.8251350754820237,,,,,33697,33697,53200,63.0,35982,35982,106400,33.0,40,40,280,14.0,81,81,220,36.0,77,81,20,20,98.0488,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_030,Model 2.5,6,69679
145,511,0.948515128636855,0.8427349497038468,0.8699526215376987,0.8462361787622339,0.8168718120825661,,,,,29770,29770,53200,55.0,28837,28837,106400,27.0,20,20,280,7.0,41,41,220,18.0,83,87,20,20,98.0488,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_145,Model 2.5,6,58607
041,489,0.9041041145212207,0.7958360167018905,0.8191273534276065,0.7980171796057942,0.7765562781753699,,,,,27721,27721,53200,52.0,29627,29627,106400,27.0,20,20,280,7.0,41,41,220,18.0,76,80,16,16,99.691,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_041,Model 2.5,6,57348
081,419,0.9004896489305521,0.7951950317620131,0.8144288128777503,0.7968440562252639,0.7798065555827671,,,,,27905,27905,53200,52.0,28761,28761,106400,27.0,20,20,280,7.0,41,41,220,18.0,82,86,20,20,84.8392,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_081,Model 2.5,6,56666
054,697,0.90634781166999,0.7855158568184772,0.8117348620219447,0.7915105777632649,0.7514248309099869,,,,,30859,30859,53200,58.0,31142,31142,106400,29.0,40,40,280,14.0,81,81,220,36.0,77,81,20,20,104.6682,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_054,Model 2.5,6,62001
019,683,0.9231136219641098,0.7763413063394013,0.8081368805198025,0.783855040651144,0.7341454491581025,,,,,29877,29877,53200,56.0,30453,30453,106400,28.0,40,40,280,14.0,81,81,220,36.0,75,79,18,18,104.6682,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_019,Model 2.5,6,60330
123,405,0.8997307292105031,0.7736824282444571,0.8107854786675979,0.7758911051245536,0.7474005339525489,,,,,26573,26573,53200,49.0,26599,26599,106400,24.0,20,20,280,7.0,41,41,220,18.0,76,80,16,16,99.691,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_123,Model 2.5,6,53172
130,391,0.632178662904751,0.1315455295835713,0.1989502359852573,0.1317949694776274,0.0969701367535321,,,,,27108,27108,53200,50.0,26680,26680,106400,25.0,20,20,280,7.0,41,41,220,18.0,71,75,16,16,102.1138,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_130,Model 2.5,6,53788
053,363,0.4366292410975985,0.0054562331250132,0.0180564248157923,0.0046259762170399,0.0020620364575302,,,,,25756,25756,53200,48.0,25108,25108,106400,23.0,20,20,280,7.0,41,41,220,18.0,77,81,20,20,104.6682,model2.5_quantizedinputs_6w0i_pareto_roc_selected,model2.5_quantizedinputs_6w0i_pareto_roc_selected_053,Model 2.5,6,50864
070,13321,0.97407871931053,0.9028505688741342,0.925721334820902,0.9049830532047736,0.8839514907435123,,,,,396971,396971,53200,746.0,426802,426802,106400,401.0,4968,4968,280,1774.0,601,601,220,273.0,73,77,15,15,104.6682,model2.5_quantizedinputs_8w0i_pareto_roc_selected,model2.5_quantizedinputs_8w0i_pareto_roc_selected_070,Model 2.5,8,823773
056,10363,0.9722682361470574,0.9001272899338153,0.9225708333711272,0.9025914537357026,0.8802809449085538,,,,,508302,508302,53200,955.0,551449,551449,106400,518.0,6648,6648,280,2374.0,641,641,220,291.0,72,76,20,20,102.1138,model2.5_quantizedinputs_8w0i_pareto_roc_selected,model2.5_quantizedinputs_8w0i_pareto_roc_selected_056,Model 2.5,8,1059751
017,6865,0.9719707198219384,0.897514973952428,0.9206962547733726,0.9001545015586214,0.876685986920279,,,,,113649,113649,53200,213.0,130245,130245,106400,122.0,584,584,280,208.0,361,361,220,164.0,92,96,20,20,99.691,model2.5_quantizedinputs_8w0i_pareto_roc_selected,model2.5_quantizedinputs_8w0i_pareto_roc_selected_017,Model 2.5,8,243894
020,12407,0.9728018490421976,0.8973238878760117,0.9228852788133312,0.8990358014277032,0.8785514949764317,,,,,165382,165382,53200,310.0,203185,203185,106400,190.0,1924,1924,280,687.0,641,641,220,291.0,93,97,23,23,84.8392,model2.5_quantizedinputs_8w0i_pareto_roc_selected,model2.5_quantizedinputs_8w0i_pareto_roc_selected_020,Model 2.5,8,368567
101,6721,0.9707635444182652,0.8941241031501991,0.919374979213342,0.8971309876912751,0.8709745692248617,,,,,123759,123759,53200,232.0,151392,151392,106400,142.0,714,714,280,255.0,481,481,220,218.0,79,83,16,16,99.691,model2.5_quantizedinputs_8w0i_pareto_roc_selected,model2.5_quantizedinputs_8w0i_pareto_roc_selected_101,Model 2.5,8,275151
058,10389,0.971514502212064,0.8936748089895113,0.9198768825153216,0.8964839557236629,0.870741758657076,,,,,301845,301845,53200,567.0,329304,329304,106400,309.0,3164,3164,280,1130.0,561,561,220,255.0,70,74,13,13,104.6682,model2.5_quantizedinputs_8w0i_pareto_roc_selected,model2.5_quantizedinputs_8w0i_pareto_roc_selected_058,Model 2.5,8,631149
032,8179,0.9712948759632656,0.8915529069574077,0.9181474325831996,0.894494483598949,0.8679601258991174,,,,,346775,346775,53200,651.0,387710,387710,106400,364.0,2900,2900,280,1035.0,641,641,220,291.0,68,72,12,12,102.1138,model2.5_quantizedinputs_8w0i_pareto_roc_selected,model2.5_quantizedinputs_8w0i_pareto_roc_selected_032,Model 2.5,8,734485
042,6361,0.970555406033904,0.890849637631863,0.9162728539854448,0.8937990754094594,0.8678149972334848,,,,,105504,105504,53200,198.0,120627,120627,106400,113.0,552,552,280,197.0,361,361,220,164.0,77,81,19,19,104.6682,model2.5_quantizedinputs_8w0i_pareto_roc_selected,model2.5_quantizedinputs_8w0i_pareto_roc_selected_042,Model 2.5,8,226131
129,4009,0.9689237193270998,0.8904181822029926,0.9153264941449654,0.8936720878270308,0.8665753565478728,,,,,77512,77512,53200,145.0,94883,94883,106400,89.0,365,365,280,130.0,321,321,220,145.0,91,95,20,20,99.691,model2.5_quantizedinputs_8w0i_pareto_roc_selected,model2.5_quantizedinputs_8w0i_pareto_roc_selected_129,Model 2.5,8,172395
